,experiment_id,belief_idx,state_idx,help_config_idx_local,belief_mus,belief_sigmas,state,help_config,conducted_datetime_stamp,accumulated_rewards,episode_lengths,num_pickups
40,41,1,0,4,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8948329442235585, -0.6169434039782641], [-0.6977761911028137, -0.8356153835981174], [-0.6659685026456905, -0.9622010960236526], [-0.6570098164450521, -0.6419414838532387]]","[-1.8056453952435314, -1.9710437412927044, -0.8912056205387003, -1.3337679391178212, 1.2415330383037257, 1.3455551968121493]",2024-09-11_11-48-17,2.4315199024956864,20,4
41,42,1,0,5,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8948329442235585, -0.6169434039782641], [-0.6977761911028137, -0.8356153835981174], [-0.6659685026456905, -0.9622010960236526], [-0.6570098164450521, -0.6419414838532387]]","[-1.7000158468829554, -2.326590677300924, -0.9922394752502441, -1.9670068226256312, 0.7786448001861572, 1.4595720767974854]",2024-09-11_11-54-37,1.7223217728106088,20,2
42,43,1,1,-1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]",,2024-09-11_13-52-37,1.6495474619517978,20,2
43,44,1,1,0,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[-0.5567808869537451, -1.215127556940363, -1.8444974285294637, 1.258726315197987, -0.6591467161558847, -0.20351355710407049]",2024-09-11_14-06-43,2.615506773154282,20,3
44,45,1,1,1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[0.06857881851979197, 0.21792011149769983, -2.161804348038188, -0.4287528014109725, -0.8887776727931733, -1.7119613288520652]",2024-09-11_14-12-14,3.591341240102498,11,4
45,46,1,1,2,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[-2.755985913634277, -2.210583901185422, 1.1727425110175016, -2.9380496891578516, 2.033513454201432, 0.2090148309089412]",2024-09-11_14-22-35,2.639757712118681,20,3
46,47,1,1,3,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[0.029355883598327637, -2.341539045373434, -0.6156098246574402, 0.2815334039875488, -0.9824770132647913, 0.0653507262468338]",2024-09-11_14-27-42,1.6776955284171562,20,3
47,48,1,1,4,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[-1.8056453952435314, -1.9710437412927044, -0.8912056205387003, -1.3337679391178212, 1.2415330383037257, 1.3455551968121493]",2024-09-11_14-52-18,1.4471495992945802,20,2
48,49,1,1,5,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7913057666820581, -0.8249848361086022], [-0.6991625506848023, -0.7501772793905536], [-0.5408830296694698, -0.9707955625758692], [-0.5529005407234553, -0.6023022699199133]]","[-1.7000158468829554, -2.326590677300924, -0.9922394752502441, -1.9670068226256312, 0.7786448001861572, 1.4595720767974854]",2024-09-11_14-57-20,-0.4873184591100154,20,0
49,50,1,2,-1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]",,2024-09-11_15-13-53,1.6097699232158602,20,2
50,51,1,2,0,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[-0.5567808869537451, -1.215127556940363, -1.8444974285294637, 1.258726315197987, -0.6591467161558847, -0.20351355710407049]",2024-09-11_16-30-00,2.7862612657864525,20,3
51,52,1,2,1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[0.06857881851979197, 0.21792011149769983, -2.161804348038188, -0.4287528014109725, -0.8887776727931733, -1.7119613288520652]",2024-09-11_16-42-37,1.6619734318352475,20,3
52,53,1,2,2,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[-2.755985913634277, -2.210583901185422, 1.1727425110175016, -2.9380496891578516, 2.033513454201432, 0.2090148309089412]",2024-09-11_18-01-08,0.6931639705720855,20,1
53,54,1,2,3,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[0.029355883598327637, -2.341539045373434, -0.6156098246574402, 0.2815334039875488, -0.9824770132647913, 0.0653507262468338]",2024-09-11_18-06-13,0.6239816238552313,20,1
54,55,1,2,4,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[-1.8056453952435314, -1.9710437412927044, -0.8912056205387003, -1.3337679391178212, 1.2415330383037257, 1.3455551968121493]",2024-09-11_18-30-24,5.017576968879808,8,4
55,56,1,2,5,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7381260432215798, -0.7398701276501912], [-0.5987926752744643, -0.8247744230988946], [-0.6021076304059064, -0.9577509899579997], [-0.6488759468431632, -0.676994484889704]]","[-1.7000158468829554, -2.326590677300924, -0.9922394752502441, -1.9670068226256312, 0.7786448001861572, 1.4595720767974854]",2024-09-11_18-34-38,1.6806911700655442,20,2
56,57,1,3,-1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]",,2024-09-11_18-40-17,0.562467915446416,20,1
57,58,1,3,0,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[-0.5567808869537451, -1.215127556940363, -1.8444974285294637, 1.258726315197987, -0.6591467161558847, -0.20351355710407049]",2024-09-12_08-22-52,4.967915873516297,8,4
58,59,1,3,1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[0.06857881851979197, 0.21792011149769983, -2.161804348038188, -0.4287528014109725, -0.8887776727931733, -1.7119613288520652]",2024-09-12_08-31-33,1.6494108641389713,20,2
59,60,1,3,2,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[-2.755985913634277, -2.210583901185422, 1.1727425110175016, -2.9380496891578516, 2.033513454201432, 0.2090148309089412]",2024-09-12_08-45-22,2.7152158186429567,20,3
60,61,1,3,3,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[0.029355883598327637, -2.341539045373434, -0.6156098246574402, 0.2815334039875488, -0.9824770132647913, 0.0653507262468338]",2024-09-12_08-51-17,3.5795242728028893,20,4
61,62,1,3,4,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[-1.8056453952435314, -1.9710437412927044, -0.8912056205387003, -1.3337679391178212, 1.2415330383037257, 1.3455551968121493]",2024-09-12_08-56-44,0.5343750798439998,20,1
62,63,1,3,5,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.7053659330270644, -0.6276397335018596], [-0.6353157158808892, -0.8466145125435911], [-0.6397120140013596, -0.9643043121860708], [-0.5763420644582673, -0.7041608984065293]]","[-1.7000158468829554, -2.326590677300924, -0.9922394752502441, -1.9670068226256312, 0.7786448001861572, 1.4595720767974854]",2024-09-12_09-02-15,1.720871774498169,20,2
63,64,1,4,-1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]",,2024-09-12_09-07-49,0.7032521688111514,20,1
64,65,1,4,0,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[-0.5567808869537451, -1.215127556940363, -1.8444974285294637, 1.258726315197987, -0.6591467161558847, -0.20351355710407049]",2024-09-12_09-13-52,1.5416073961190104,20,3
65,66,1,4,1,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[0.06857881851979197, 0.21792011149769983, -2.161804348038188, -0.4287528014109725, -0.8887776727931733, -1.7119613288520652]",2024-09-12_09-19-16,1.5531220622734263,20,2
66,67,1,4,2,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[-2.755985913634277, -2.210583901185422, 1.1727425110175016, -2.9380496891578516, 2.033513454201432, 0.2090148309089412]",2024-09-12_09-24-59,1.624437182972644,20,3
67,68,1,4,3,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[0.029355883598327637, -2.341539045373434, -0.6156098246574402, 0.2815334039875488, -0.9824770132647913, 0.0653507262468338]",2024-09-12_09-30-42,2.6666952310060994,20,4
68,69,1,4,4,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[-1.8056453952435314, -1.9710437412927044, -0.8912056205387003, -1.3337679391178212, 1.2415330383037257, 1.3455551968121493]",2024-09-12_09-35-56,1.6735778828952728,20,3
69,70,1,4,5,"[[-0.8064710911741269, -0.6297700623591925], [-0.7680184004271802, -0.8295638470829546], [-0.6091559658901384, -0.9723207921686264], [-0.6141246466434069, -0.7707902128778021]]","[[0.11808035964682562, 0.12948951240942116], [0.09280233743870861, 0.036387003685593], [0.0938303204925353, 0.03230243158036222], [0.04371578122601935, 0.10422897960026484]]","[[-0.8561366950690926, -0.6624570016103716], [-0.8033031236538806, -0.8533727280857137], [-0.540042415044818, -0.9621117297496301], [-0.5855326991391517, -0.87168162989264]]","[-1.7000158468829554, -2.326590677300924, -0.9922394752502441, -1.9670068226256312, 0.7786448001861572, 1.4595720767974854]",2024-09-12_09-41-03,2.7317636745477625,20,4
